"description","ip_address","nick_name","age","gender","academic_study","start_time","end_time","run_time","data_name","pic_name","pic_id","test_param","param_value","rorschach","curvature","target_curvature","null_curvature","target_variability","null_variability","sample_size","obs_plot_location","response_no","correct","conf_level","choice_reason","participant_count","plot_count"
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890453.64612,1603890479.80478,26.1586532592773,"184b9f1a90081e0ffeedc112c6431d9c","plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","23","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Neutral","Different shape",26,10
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890479.84022,1603890485.33336,5.49313378334045,"b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg","32","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Very Certain","Different shape",26,11
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890479.84022,1603890485.33336,5.49313378334045,"b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg","32","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Very Certain","Different shape",26,11
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890485.36486,1603890501.57127,16.2064065933228,"184b9f1a90081e0ffeedc112c6431d9c","plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg","24","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Very Certain","Different shape",26,10
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890485.36486,1603890501.57127,16.2064065933228,"184b9f1a90081e0ffeedc112c6431d9c","plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg","24","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Very Certain","Different shape",26,10
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890501.63063,1603890514.69878,13.0681493282318,"e079c7c97296f2c777bede60f7d1c5b7","plots/svg/19458f4a249031b8179c02b343dffe30.svg","7","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Very Certain","Different shape",26,11
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890501.63063,1603890514.69878,13.0681493282318,"e079c7c97296f2c777bede60f7d1c5b7","plots/svg/19458f4a249031b8179c02b343dffe30.svg","7","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Very Certain","Different shape",26,11
"emily-log-2","","f5b8b6da4021123c2308741a88aee3aa","31-35","Female","Graduate Degree",1604531190.40959,1604531327.96599,137.556391000748,"47748c8978f11fc269bed62ca7f6a4d3","plots/svg/d4332bd8e199471b74969e986f987ac8.svg","27","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Certain","Different shape",3,19
"emily-log-2","","f5b8b6da4021123c2308741a88aee3aa","31-35","Female","Graduate Degree",1604531349.17567,1604531400.577,51.4013247489929,"8012cc5c1e8c712893cc2a9a040c11b1","plots/svg/820438d18efea32daec169de0273d756.svg","17","linear","target-M-Lv_null-M-Lv_r1","1","t-M_n-M","M","M","Lv","Lv",50,13,12,0,"Neutral","Different slope, Outlier(s)",3,3
"emily-log-2","","f5b8b6da4021123c2308741a88aee3aa","31-35","Female","Graduate Degree",1604531400.62713,1604531411.94065,11.3135230541229,"3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Certain","Different shape, Different slope",3,15
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194751.31271,1605194764.48402,13.1713063716888,"b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/e9510e025a1152c8bc78255bdc926f93.svg","31","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,4,0,"Neutral","Different shape",14,13
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194831.83262,1605194841.81023,9.97761178016663,"e079c7c97296f2c777bede60f7d1c5b7","plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg","8","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Very Certain","Different shape",14,10
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194841.85008,1605194865.27581,23.425731420517,"184b9f1a90081e0ffeedc112c6431d9c","plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","23","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Uncertain","Outlier(s)",14,10
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194865.30945,1605194880.20786,14.8984053134918,"d14de6e8946c29750256921ce0462931","plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","9","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Certain","Different slope",14,12
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194880.25924,1605194888.98406,8.72482109069824,"47748c8978f11fc269bed62ca7f6a4d3","plots/svg/d4332bd8e199471b74969e986f987ac8.svg","27","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Neutral","Different slope",14,19
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194889.03625,1605194909.84824,20.8119888305664,"f28e70dc6b7365974b49d253cdd85363","plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","29","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Neutral","Different slope",14,12
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194909.89866,1605194914.81998,4.92132496833801,"d14de6e8946c29750256921ce0462931","plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","10","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Neutral","Different shape",14,12
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194914.87925,1605194945.15261,30.2733612060547,"7ff3391e264e98652cdb6eb8b85088c4","plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","15","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Uncertain","Different shape",14,14
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194945.30947,1605194977.98481,32.6753363609314,"189c61f200c3520ee45009701c11152a","plots/svg/de094142d3634f328b1655f017d1aefb.svg","20","log","target-M-Lv_null-M-Lv_r1","1","t-M_n-M","M","M","Lv","Lv",50,16,7,0,"Very Uncertain","Clustering",14,3
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194978.01651,1605194985.02138,7.00486922264099,"184b9f1a90081e0ffeedc112c6431d9c","plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg","24","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Neutral","Different shape",14,10
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194985.05382,1605194990.66098,5.60716819763184,"f28e70dc6b7365974b49d253cdd85363","plots/svg/e2e1ff57be869422245fc51b15415492.svg","30","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Neutral","Different shape",14,12
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194990.69461,1605194999.86966,9.17505049705505,"47748c8978f11fc269bed62ca7f6a4d3","plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","28","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Certain","Different shape, Different slope",14,16
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605194999.92308,1605195044.4855,44.5624284744263,"e079c7c97296f2c777bede60f7d1c5b7","plots/svg/19458f4a249031b8179c02b343dffe30.svg","7","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Neutral","Different shape",14,11
"emily-log-2","","81998917829c2defc8897a6aa438e044","31-35","Female","Graduate Degree",1605195049.25699,1605195068.55744,19.3004477024078,"7ff3391e264e98652cdb6eb8b85088c4","plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","16","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Very Certain","Different shape",14,13
