"description","nick_name","start_time","end_time","run_time","run","data_name","pic_name","pic_id","test_param","param_value","rorschach","curvature","target_curvature","null_curvature","target_variability","null_variability","sample_size","obs_plot_location","response_no","correct","conf_level","choice_reason","participant_count","plot_count"
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606151825.91129,1606151923.94253,98.0312352180481,"2","87f34b01f1fce217b6c33e04da081ed0","plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","5","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,16,0,"Neutral","Different shape",13,23
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606151923.98243,1606152153.94303,229.960598468781,"2","d14de6e8946c29750256921ce0462931","plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","10","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Certain","Different shape",13,24
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606152153.99482,1606152181.61121,27.6163914203644,"2","d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg","25","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Certain","Different shape",13,23
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606152181.65412,1606152203.99292,22.3388018608093,"2","d14de6e8946c29750256921ce0462931","plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","9","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Certain","Different shape",13,24
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606152204.04098,1606152294.08012,90.0391435623169,"2","f28e70dc6b7365974b49d253cdd85363","plots/svg/e2e1ff57be869422245fc51b15415492.svg","30","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,18,0,"Neutral","Clustering",13,20
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606152294.13153,1606152317.11342,22.9818892478943,"2","7ff3391e264e98652cdb6eb8b85088c4","plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","16","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Certain","Different shape",13,22
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606152317.16803,1606152357.73119,40.5631566047668,"2","184b9f1a90081e0ffeedc112c6431d9c","plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","23","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Neutral","Outlier(s)",13,18
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606152357.77656,1606152391.56076,33.7841989994049,"2","184b9f1a90081e0ffeedc112c6431d9c","plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg","24","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Certain","Different shape",13,18
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159433.12382,1606159474.16935,41.045533657074,"3","f28e70dc6b7365974b49d253cdd85363","plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","29","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,8,0,"Neutral","Different range, Outlier(s)",13,21
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159474.20627,1606159490.99415,16.787878036499,"3","d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg","26","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Certain","Different slope",13,22
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159491.02941,1606159511.47941,20.4500019550323,"3","d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg","25","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Certain","Different slope",13,23
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159511.51273,1606159593.69464,82.1819105148315,"3","3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,4,0,"Very Uncertain","Different range",13,28
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159641.16812,1606159655.46108,14.2929563522339,"3","87f34b01f1fce217b6c33e04da081ed0","plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","6","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Uncertain","Different shape",13,20
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159655.59641,1606159715.93273,60.3363251686096,"3","f28e70dc6b7365974b49d253cdd85363","plots/svg/e2e1ff57be869422245fc51b15415492.svg","30","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Uncertain","Different shape",13,20
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159715.96407,1606159732.56898,16.6049094200134,"3","d14de6e8946c29750256921ce0462931","plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","10","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Uncertain","Different shape",13,24
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159732.60003,1606159769.72459,37.1245658397675,"3","87f34b01f1fce217b6c33e04da081ed0","plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","5","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,1,0,"Uncertain","Different range, Outlier(s)",13,23
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159769.76374,1606159820.97794,51.2141954898834,"3","d14de6e8946c29750256921ce0462931","plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","9","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Neutral","Different slope",13,24
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159821.02164,1606159836.59611,15.5744638442993,"3","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/5df2947852318075a066e55984da5020.svg","13","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,11,0,"Uncertain","Different slope",13,22
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159836.63019,1606159849.62345,12.9932677745819,"3","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","14","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Neutral","Different shape",13,23
"emily-log-2","0cf70ba06ca136fd39b9656dc36a1e28",1606159849.66575,1606159863.22023,13.5544862747192,"3","3d689aa117d70559b73fe8398f1a44c6","plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","22","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Neutral","Different shape",13,23
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196376.71206,1606196402.14763,25.4355690479279,"4","b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg","32","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Neutral","Different shape, Different slope",13,21
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196402.17998,1606196417.01926,14.8392803668976,"4","87f34b01f1fce217b6c33e04da081ed0","plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","5","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,18,0,"Neutral","Different shape, Different slope",13,23
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196417.0504,1606196430.84162,13.791216135025,"4","d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg","25","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,3,0,"Neutral","Different shape, Different slope",13,23
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196448.90135,1606196465.31291,16.4115655422211,"4","3d689aa117d70559b73fe8398f1a44c6","plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","22","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,20,0,"Neutral","Different shape, Different slope",13,23
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196465.44146,1606196475.31436,9.87289977073669,"4","b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/e9510e025a1152c8bc78255bdc926f93.svg","31","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,4,0,"Neutral","Different range",13,22
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196475.36658,1606196489.76788,14.4012939929962,"4","3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Neutral","Different range",13,28
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196489.80104,1606196501.76117,11.9601218700409,"4","6a72b42ba970ea6798a886761baf324f","plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg","11","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,17,1,"Neutral","Different shape, Different slope",13,18
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196501.79246,1606196512.82482,11.0323612689972,"4","d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg","26","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Neutral","Different shape, Different slope",13,22
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196512.85769,1606196596.20211,83.3444283008575,"4","6a72b42ba970ea6798a886761baf324f","plots/svg/19640c3dc14337740f45aee91eed5803.svg","12","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,19,0,"Neutral","Clustering, Different shape, Different slope",13,18
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196596.23644,1606196610.56801,14.3315691947937,"4","7ff3391e264e98652cdb6eb8b85088c4","plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","15","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,4,0,"Neutral","Clustering, Different shape, Different slope",13,21
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196610.59986,1606196629.7594,19.1595404148102,"4","7ff3391e264e98652cdb6eb8b85088c4","plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","16","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,8,0,"Neutral","Clustering, Different shape, Different slope",13,22
"emily-log-2","0fd70ce79e7389144e6241d6e33b0c47",1606196629.79292,1606196643.36825,13.5753242969513,"4","87f34b01f1fce217b6c33e04da081ed0","plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","6","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Neutral","Clustering, Different shape, Different slope",13,20
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545697.29615,1605545709.10341,11.8072617053986,"5","b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg","32","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Certain","Different shape",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545709.16404,1605545717.51293,8.3488883972168,"5","6a72b42ba970ea6798a886761baf324f","plots/svg/19640c3dc14337740f45aee91eed5803.svg","12","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,17,1,"Very Certain","Different shape",13,18
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545717.56285,1605545757.7187,40.1558537483215,"5","87f34b01f1fce217b6c33e04da081ed0","plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","5","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,6,0,"Very Uncertain","Different shape",13,23
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545768.43169,1605545776.12019,7.68849754333496,"5","6a72b42ba970ea6798a886761baf324f","plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg","11","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,17,1,"Very Certain","Different shape",13,18
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545776.17078,1605545792.8157,16.6449279785156,"5","3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Uncertain","Different shape",13,28
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545792.86574,1605545803.36963,10.5038974285126,"5","47748c8978f11fc269bed62ca7f6a4d3","plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","28","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Certain","Different shape",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545803.4069,1605545811.21298,7.80608463287354,"5","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","14","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Certain","Different slope",13,23
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545811.26473,1605545827.54991,16.2851736545563,"5","87f34b01f1fce217b6c33e04da081ed0","plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","6","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Neutral","Different shape, Different slope",13,20
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545827.60689,1605545851.6831,24.07621717453,"5","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/5df2947852318075a066e55984da5020.svg","13","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,14,0,"Neutral","Different range",13,22
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545862.64397,1605545995.68647,133.042496442795,"5","b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/e9510e025a1152c8bc78255bdc926f93.svg","31","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,8,0,"Uncertain","Different slope",13,22
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605545995.7381,1605546011.84762,16.1095237731934,"5","3d689aa117d70559b73fe8398f1a44c6","plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","22","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Certain","Different shape",13,23
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605546011.90058,1605546022.62,10.7194225788116,"5","47748c8978f11fc269bed62ca7f6a4d3","plots/svg/d4332bd8e199471b74969e986f987ac8.svg","27","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Certain","Different slope",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605824198.31629,1605824696.70682,498.390526533127,"6","7ff3391e264e98652cdb6eb8b85088c4","plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","15","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,2,0,"Uncertain","Other, Large variance in y-axis for small neighborhood in x-axis (near large x's)",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605824696.73902,1605824813.99932,117.260293006897,"6","3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Uncertain","Clustering",13,28
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605824814.04966,1605825071.69777,257.648111343384,"6","6a72b42ba970ea6798a886761baf324f","plots/svg/19640c3dc14337740f45aee91eed5803.svg","12","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,17,1,"Very Certain","Different shape, Different slope",13,18
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825071.73515,1605825181.11286,109.377714395523,"6","e079c7c97296f2c777bede60f7d1c5b7","plots/svg/19458f4a249031b8179c02b343dffe30.svg","7","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Neutral","Other, Fewer data points at high x-values, so the evidence of the relationship for high x-values is weakest",13,24
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825181.14834,1605825197.76028,16.6119327545166,"6","47748c8978f11fc269bed62ca7f6a4d3","plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","28","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Very Certain","Different shape, Different slope",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825197.79266,1605825234.38398,36.5913233757019,"6","f28e70dc6b7365974b49d253cdd85363","plots/svg/e2e1ff57be869422245fc51b15415492.svg","30","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Very Certain","Different shape, Different slope",13,20
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825323.98958,1605825504.75986,180.770272016525,"6","47748c8978f11fc269bed62ca7f6a4d3","plots/svg/d4332bd8e199471b74969e986f987ac8.svg","27","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Neutral","Clustering",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825504.79171,1605825558.83634,54.0446388721466,"6","7ff3391e264e98652cdb6eb8b85088c4","plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","16","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,4,0,"Neutral","Clustering",13,22
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825558.87147,1605825593.04452,34.1730494499207,"6","6a72b42ba970ea6798a886761baf324f","plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg","11","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,17,1,"Certain","Different shape, Different slope",13,18
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825593.09679,1605825618.20251,25.1057121753693,"6","3d689aa117d70559b73fe8398f1a44c6","plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","22","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Certain","Different shape",13,23
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825618.2576,1605825658.70507,40.4474730491638,"6","f28e70dc6b7365974b49d253cdd85363","plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","29","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Certain","Different shape",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1605825658.75704,1605825676.89252,18.135472536087,"6","e079c7c97296f2c777bede60f7d1c5b7","plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg","8","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Certain","Different shape",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152433.44033,1606152492.99456,59.5542285442352,"7","e079c7c97296f2c777bede60f7d1c5b7","plots/svg/19458f4a249031b8179c02b343dffe30.svg","7","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Uncertain","Different slope",13,24
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152493.04883,1606152502.26934,9.22051811218262,"7","e079c7c97296f2c777bede60f7d1c5b7","plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg","8","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Certain","Different shape",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152502.32399,1606152512.96782,10.6438300609589,"7","47748c8978f11fc269bed62ca7f6a4d3","plots/svg/d4332bd8e199471b74969e986f987ac8.svg","27","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Certain","Different shape",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152513.00075,1606152522.4757,9.47495365142822,"7","f28e70dc6b7365974b49d253cdd85363","plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","29","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Neutral","Different slope",13,21
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152522.53294,1606152538.60952,16.0765783786774,"7","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/5df2947852318075a066e55984da5020.svg","13","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Uncertain","Different slope",13,22
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152538.64146,1606152547.49446,8.85300278663635,"7","184b9f1a90081e0ffeedc112c6431d9c","plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","23","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Certain","Different shape",13,18
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152547.54288,1606152554.13766,6.59478664398193,"7","f28e70dc6b7365974b49d253cdd85363","plots/svg/e2e1ff57be869422245fc51b15415492.svg","30","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Certain","Different shape",13,20
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152554.17101,1606152561.00972,6.83871245384216,"7","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","14","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Certain","Different slope",13,23
"emily-log-2","11d0f4e6d5fab9bd5b4a9356cb804540",1606152561.0513,1606152569.00194,7.95064043998718,"7","47748c8978f11fc269bed62ca7f6a4d3","plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","28","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Certain","Different shape",13,21
